Date,FeO_Before_Mixer
6/20/2019,22.56
6/20/2019,21.63
6/20/2019,21.13
6/21/2019,23.41
6/21/2019,23.03
6/22/2019,22.28
6/22/2019,21.35
6/23/2019,21.56
6/23/2019,21.7
6/23/2019,22.28
6/24/2019,20.21
6/24/2019,19.15
6/24/2019,22.2
6/25/2019,21.92
6/25/2019,20.57
6/25/2019,21.14
6/26/2019,23.34
6/26/2019,21.28
6/26/2019,21.99
6/27/2019,21.15
6/27/2019,20.92
6/27/2019,21.56
6/28/2019,22.13
6/28/2019,21.56
6/28/2019,21.42
6/29/2019,21.21
6/29/2019,22.2
6/29/2019,22.77
6/30/2019,21.63
6/30/2019,22.85
6/30/2019,23.05
7/1/2019,22.13
7/1/2019,22.55
7/1/2019,23.34
7/2/2019,22.77
7/2/2019,20.85
7/2/2019,23.9
7/3/2019,22.63
7/3/2019,22.98
7/3/2019,22.55
7/4/2019,22.15
7/4/2019,21.28
7/4/2019,22.13
7/5/2019,22
7/5/2019,21.63
7/5/2019,22.7
7/6/2019,22.98
7/6/2019,22.13
7/6/2019,21.42
7/7/2019,22.7
7/7/2019,22.49
7/7/2019,22.35
7/8/2019,21.7
7/8/2019,22.63
7/8/2019,20.26
7/9/2019,21.14
7/9/2019,21.28
7/9/2019,21.45
7/10/2019,21.99
7/10/2019,20.51
7/10/2019,21.31
7/11/2019,22.57
7/11/2019,21.76
7/11/2019,22.2
7/12/2019,24.17
7/12/2019,22.2
7/12/2019,22.48
7/13/2019,23.13
7/13/2019,23.44
7/13/2019,22.34
7/14/2019,22.62
7/14/2019,22.71
7/14/2019,22.5
7/15/2019,22.48
7/15/2019,22.55
7/15/2019,22.56
7/16/2019,21.37
7/16/2019,22.12
7/16/2019,23.72
7/17/2019,22.07
7/17/2019,23.06
7/17/2019,22.73
7/18/2019,26.47
7/18/2019,23.6
7/18/2019,23.87
7/19/2019,24.3
7/19/2019,23.2
7/19/2019,22.9
7/20/2019,23.7
7/20/2019,24.16
7/20/2019,23.89
7/21/2019,24.6
7/21/2019,23.6
7/21/2019,22.2
7/22/2019,23.74
7/22/2019,24.38
7/22/2019,23.62
7/23/2019,23.04
7/24/2019,23.08
7/24/2019,24.3
7/24/2019,23.14
7/25/2019,23.52
7/25/2019,24.09
7/25/2019,25.18
7/27/2019,24.15
7/27/2019,24.68
7/27/2019,23.74
7/28/2019,23.81
7/28/2019,24.39
7/28/2019,23.95
7/29/2019,23.73
7/29/2019,23.81
7/29/2019,23.81
7/30/2019,23.52
7/30/2019,23.66
7/30/2019,22.79
7/31/2019,23.52
7/31/2019,23.66
7/31/2019,22.63
8/1/2019,21.77
8/1/2019,22.64
8/1/2019,21.84
8/2/2019,22.06
8/2/2019,22.07
8/2/2019,22.86
8/3/2019,22.56
8/3/2019,22.5
8/3/2019,21.49
8/4/2019,23.14
8/4/2019,22.62
8/4/2019,19.9
8/5/2019,22.64
8/5/2019,21.77
8/5/2019,22.65
8/6/2019,21.79
8/6/2019,23.08
8/6/2019,23.08
8/7/2019,23.08
8/7/2019,23.59
8/7/2019,22.65
8/8/2019,23.37
8/8/2019,23.15
8/9/2019,21.65
8/9/2019,22.35
8/9/2019,23.14
8/10/2019,21.77
8/10/2019,22.79
8/10/2019,23.15
8/11/2019,23
8/11/2019,22.86
8/11/2019,23.01
8/12/2019,23.14
8/12/2019,22.94
8/12/2019,22.65
8/13/2019,22.94
8/13/2019,23.51
8/13/2019,23.08
8/14/2019,23.4
8/14/2019,22.94
8/14/2019,23.23
8/15/2019,23.23
8/15/2019,23.43
8/15/2019,23.08
8/16/2019,23.23
8/16/2019,23.28
8/16/2019,23.29
8/17/2019,22.21
8/17/2019,23.11
8/17/2019,21.98
8/18/2019,22.79
8/18/2019,22.7
8/18/2019,22.56
8/19/2019,22.71
8/19/2019,23.27
8/19/2019,22.78
8/20/2019,23.86
8/20/2019,23.35
8/20/2019,23.64
8/21/2019,23.64
8/21/2019,23.64
8/21/2019,20.91
8/22/2019,22.56
8/22/2019,23.28
8/22/2019,22.63
8/23/2019,22.56
9/23/2019,22.67
9/24/2019,20.03
9/24/2019,19.39
9/25/2019,22.1
9/25/2019,22.71
9/26/2019,22.38
9/26/2019,20.74
9/27/2019,22.78
9/27/2019,20.82
9/28/2019,22.1
9/28/2019,22.1
9/28/2019,21.89
9/29/2019,22.1
9/29/2019,21.53
9/29/2019,21.81
10/2/2019,22.67
10/3/2019,21.38
10/3/2019,21.13
10/3/2019,20.12
10/4/2019,22.24
10/4/2019,21.46
10/4/2019,22.73
10/5/2019,21.03
10/5/2019,22.97
10/5/2019,21.1
10/6/2019,19.4
10/6/2019,20.59
10/7/2019,23.43
10/7/2019,23.17
10/7/2019,23.14
10/9/2019,23.14
10/9/2019,21.57
10/9/2019,20.77
10/10/2019,20.91
10/10/2019,16.71
10/10/2019,20.05
10/11/2019,20.06
10/11/2019,22.2
10/11/2019,20.75
10/12/2019,20.21
10/12/2019,22
10/12/2019,20.18
10/13/2019,21.76
10/13/2019,21.34
10/13/2019,20.5
10/14/2019,22.47
10/14/2019,21.72
10/14/2019,21.71
10/15/2019,22.47
10/16/2019,22.42
10/16/2019,23.46
10/16/2019,21.2
10/17/2019,20.78
10/17/2019,21.47
10/17/2019,20.34
10/18/2019,20.98
10/19/2019,22.19
10/19/2019,21.61
10/19/2019,22.63
10/20/2019,22.63
10/20/2019,22.06
10/20/2019,20.61
10/21/2019,21.05
10/21/2019,22.15
10/22/2019,21.75
10/22/2019,22.75
10/22/2019,20.64
10/23/2019,19.75
10/23/2019,22.61
10/23/2019,19.92
10/24/2019,20.63
10/24/2019,21.62
10/24/2019,21.27
10/25/2019,21.35
10/25/2019,21.48
10/25/2019,21.34
10/26/2019,21.48
10/26/2019,21.18
10/26/2019,20.2
10/27/2019,21.34
10/27/2019,21.75
10/27/2019,20.35
10/28/2019,20.78
10/28/2019,21.94
10/28/2019,20.92
10/29/2019,21.77
10/29/2019,20.11
10/29/2019,20.5
10/30/2019,20.64
10/30/2019,20.04
10/30/2019,20.64
10/31/2019,21.47
10/31/2019,23.9
10/31/2019,21.76
11/1/2019,21.35
11/1/2019,20.89
11/1/2019,20.91
11/2/2019,20.35
11/2/2019,21.75
11/2/2019,20.06
11/3/2019,21.2
11/3/2019,20.6
11/3/2019,21.48
11/4/2019,19.63
11/4/2019,21
11/4/2019,22.04
11/5/2019,19.49
11/5/2019,19.93
11/5/2019,21.47
11/6/2019,21.48
11/6/2019,22.85
11/6/2019,21.42
11/7/2019,21.13
11/7/2019,19.38
11/7/2019,21.35
11/8/2019,22.2
11/8/2019,21.63
11/8/2019,21.56
11/9/2019,21.63
11/9/2019,23.6
11/9/2019,20.35
11/10/2019,20.92
11/10/2019,20.45
11/10/2019,21.85
11/11/2019,21.56
11/11/2019,21.81
11/11/2019,21.56
11/12/2019,21.56
11/12/2019,22.03
11/12/2019,21.42
11/13/2019,21.56
11/13/2019,21.74
11/13/2019,20.34
11/14/2019,21.28
11/14/2019,21.06
11/14/2019,21.42
11/15/2019,19.47
11/15/2019,20.7
11/15/2019,19.84
11/16/2019,21.13
11/16/2019,21.45
11/16/2019,21.06
11/17/2019,21.21
11/17/2019,20.92
11/17/2019,21.35
11/18/2019,20.85
11/18/2019,20.76
11/18/2019,23.1
11/19/2019,21.56
11/19/2019,21.45
11/19/2019,20.22
11/20/2019,20.99
11/20/2019,20.74
11/20/2019,21.48
11/21/2019,19.95
11/21/2019,20.85
11/21/2019,20.56
11/22/2019,20.42
11/22/2019,21.42
11/22/2019,20.56
11/23/2019,21.28
11/23/2019,22.05
11/23/2019,21
11/24/2019,20.21
11/24/2019,21.45
11/24/2019,19.88
11/25/2019,21.13
11/26/2019,21.45
11/26/2019,21.94
11/27/2019,22.42
11/27/2019,22.9
11/27/2019,22.94
11/28/2019,23.27
11/28/2019,21.2
11/28/2019,23.34
11/29/2019,22.65
11/29/2019,22.13
11/29/2019,20.62
11/30/2019,21.8
11/30/2019,23.31
11/30/2019,21.85
12/1/2019,23.34
12/1/2019,21.4
12/1/2019,21.28
12/2/2019,20.76
12/2/2019,20.6
12/2/2019,21.92
12/3/2019,21.85
12/3/2019,21.45
12/3/2019,22.7
12/4/2019,20.49
12/4/2019,22.88
12/4/2019,21.32
12/5/2019,21.05
12/5/2019,22.32
12/5/2019,23.36
12/6/2019,22.54
12/6/2019,22.34
12/6/2019,23.14
12/7/2019,23.02
12/7/2019,22.39
12/7/2019,23.01
12/8/2019,22.07
12/8/2019,21.81
12/8/2019,21.93
12/9/2019,22.6
12/9/2019,22.63
12/9/2019,21.5
12/10/2019,23.14
12/10/2019,22.9
12/10/2019,21.8
12/11/2019,21.63
12/11/2019,23.44
12/11/2019,22.81
12/12/2019,22.99
12/12/2019,22.19
12/12/2019,23.25
12/13/2019,22.71
12/13/2019,23
12/13/2019,22.72
12/14/2019,21.97
12/14/2019,23.1
12/14/2019,22.46
12/15/2019,23.66
12/15/2019,21.54
12/15/2019,23.41
12/16/2019,22.18
12/16/2019,21.7
12/16/2019,21.91
12/17/2019,22.32
12/17/2019,21.9
12/17/2019,21.8
12/18/2019,21.78
12/18/2019,22.02
12/18/2019,21.76
12/19/2019,21.23
12/19/2019,21.63
12/19/2019,21.9
12/20/2019,21.37
12/20/2019,21.78
12/20/2019,21.36
12/21/2019,21.49
12/21/2019,21.92
12/21/2019,20.42
12/22/2019,21.49
12/22/2019,21.88
12/22/2019,22.05
12/23/2019,21.5
12/23/2019,21.81
12/23/2019,21.92
12/24/2019,20.28
12/24/2019,21.2
12/24/2019,21.64
12/25/2019,20.69
12/25/2019,20.66
12/25/2019,21.64
12/26/2019,21.92
12/26/2019,21.7
12/26/2019,21.61
12/27/2019,21.97
12/27/2019,21.77
12/27/2019,21.22
12/28/2019,21.76
12/28/2019,21.85
12/28/2019,21.36
12/29/2019,21.37
12/29/2019,21.64
12/29/2019,20.69
12/30/2019,21.37
12/30/2019,20.79
12/30/2019,23.14
12/31/2019,20.82
12/31/2019,20.44
12/31/2019,21.1
1/1/2020,20.96
1/1/2020,22.03
1/1/2020,21.37
1/3/2020,21.49
1/4/2020,21.03
1/5/2020,20.88
1/6/2020,21.38
1/6/2020,22.71
1/7/2020,22.21
1/8/2020,22.06
1/9/2020,22.63
1/9/2020,22.85
1/9/2020,22.78
1/10/2020,23.07
1/10/2020,22.06
1/10/2020,21.77
1/11/2020,23.22
1/11/2020,23.36
1/11/2020,22.92
1/12/2020,22.55
1/12/2020,22.46
1/12/2020,22.35
1/13/2020,21.77
1/13/2020,21.77
1/13/2020,21.49
1/14/2020,21.49
1/14/2020,20.06
1/15/2020,21.06
1/15/2020,21.23
1/15/2020,21.92
1/16/2020,21.63
1/16/2020,21.27
1/16/2020,22.35
1/17/2020,21.2
1/17/2020,21.78
1/17/2020,21.34
1/18/2020,21.49
1/18/2020,21.16
1/18/2020,21.42
1/19/2020,21.92
1/19/2020,22.5
1/19/2020,22.55
1/20/2020,22.71
1/20/2020,23.06
1/20/2020,22.05
1/21/2020,22.7
1/21/2020,22.21
1/21/2020,22.2
1/22/2020,22.05
1/22/2020,21.63
1/22/2020,21.91
1/23/2020,21.18
1/23/2020,21.92
1/23/2020,22.49
1/24/2020,22.05
1/24/2020,21.2
1/24/2020,21.92
1/25/2020,21.91
1/25/2020,22.12
1/25/2020,22.49
1/26/2020,22.35
1/26/2020,22.5
1/26/2020,22
1/27/2020,22.78
1/27/2020,22.92
1/27/2020,21.9
1/28/2020,21.92
1/28/2020,22.55
1/28/2020,22.63
1/29/2020,22.06
1/29/2020,22.78
1/29/2020,22.34
1/30/2020,22.62
1/30/2020,23.06
1/31/2020,22.47
1/31/2020,21.92
1/31/2020,22.21
2/1/2020,22.19
2/1/2020,22.35
2/1/2020,21.92
2/2/2020,20.76
2/2/2020,22.33
2/2/2020,19.63
2/3/2020,22.49
2/3/2020,20.19
2/3/2020,21.35
2/4/2020,21.63
2/4/2020,22.4
2/4/2020,21.76
2/5/2020,21.78
2/5/2020,22.76
2/5/2020,23.19
2/6/2020,22.92
2/6/2020,23.35
2/6/2020,21.33
2/7/2020,21.9
2/7/2020,23.07
2/7/2020,21.61
2/8/2020,23.33
2/8/2020,23.14
2/8/2020,22.93
2/9/2020,22.19
2/9/2020,22.06
2/10/2020,22.4
2/10/2020,23.2
2/11/2020,23.36
2/11/2020,23.05
2/11/2020,23.42
2/12/2020,22.49
2/12/2020,20.75
2/12/2020,22.19
2/13/2020,21.97
2/13/2020,22.19
2/13/2020,22.76
2/14/2020,23.05
2/14/2020,22.21
2/14/2020,22.47
2/15/2020,23.33
2/15/2020,23.94
2/15/2020,21.47
2/16/2020,23.04
2/16/2020,22.5
2/16/2020,22.93
2/17/2020,22.62
2/17/2020,23.57
2/17/2020,23.79
2/18/2020,23.9
2/18/2020,22.21
2/19/2020,22.06
2/19/2020,23.76
2/19/2020,22.06
2/20/2020,22.62
2/20/2020,22.76
2/20/2020,23.19
2/21/2020,22.64
2/21/2020,21.47
2/21/2020,22.19
2/22/2020,22.06
2/22/2020,22.21
2/22/2020,22.9
2/23/2020,23.19
2/23/2020,22.35
2/23/2020,22.9
2/24/2020,23.05
2/24/2020,23.2
2/24/2020,22.49
2/25/2020,22.9
2/25/2020,23.78
2/25/2020,23.22
2/26/2020,23.9
2/26/2020,23.33
2/27/2020,23.07
2/27/2020,24.28
2/27/2020,23.92
2/28/2020,23.39
2/28/2020,24.33
2/28/2020,23.9
2/29/2020,21.71
2/29/2020,22.76
2/29/2020,22.26
3/1/2020,22.14
3/1/2020,22.27
3/1/2020,19.61
3/2/2020,22.76
3/2/2020,22.7
3/2/2020,22.9
3/3/2020,22.19
3/3/2020,23.85
3/3/2020,23.71
3/4/2020,21.18
3/4/2020,22.07
3/4/2020,21.7
3/5/2020,23.04
3/5/2020,23.33
3/5/2020,21.93
3/6/2020,20.4
3/6/2020,22
3/7/2020,22.85
3/7/2020,22.9
3/8/2020,22.4
3/8/2020,21.9
3/8/2020,22.19
3/9/2020,23.9
3/9/2020,23.57
3/10/2020,22.9
3/10/2020,22.42
3/11/2020,23.04
3/11/2020,22.71
3/12/2020,23
3/12/2020,22.72
3/13/2020,22.76
3/13/2020,22.04
3/14/2020,23
3/14/2020,22.19
3/15/2020,22.76
3/16/2020,24.33
3/17/2020,23.62
3/17/2020,24.22
3/18/2020,22.9
3/18/2020,23.28
3/19/2020,22.18
3/19/2020,22.71
3/20/2020,22.04
3/20/2020,22.76
3/21/2020,21.9
3/21/2020,20.89
3/22/2020,22.12
3/22/2020,22.62
3/23/2020,22.18
3/23/2020,21.04
3/24/2020,22.9
3/24/2020,22.85
3/25/2020,22.19
3/25/2020,23.71
3/26/2020,22.18
3/26/2020,22.14
3/27/2020,22.18
3/28/2020,23.74
3/29/2020,23.3
3/29/2020,22.45
3/30/2020,21.33
3/30/2020,23.35
3/31/2020,22.9
3/31/2020,21.61
4/1/2020,21.83
4/1/2020,23.19
4/3/2020,23.57
4/3/2020,21.27
4/4/2020,20.51
4/4/2020,22.9
4/5/2020,22.48
4/5/2020,21.99
4/6/2020,22.49
4/6/2020,22.02
4/7/2020,24.09
4/7/2020,22.85
4/8/2020,24.38
4/8/2020,23.57
4/9/2020,23.86
4/9/2020,24.43
4/10/2020,24.29
4/10/2020,24.95
4/11/2020,23.28
4/11/2020,24.52
4/12/2020,23.85
4/12/2020,23.51
4/13/2020,24.37
4/13/2020,23.88
4/14/2020,24.52
4/14/2020,24.87
4/14/2020,24.45
4/15/2020,23.52
4/15/2020,23.28
4/15/2020,24.24
4/16/2020,23.95
4/16/2020,23.28
4/16/2020,24.43
4/17/2020,25.3
4/17/2020,24.57
4/17/2020,23.57
4/18/2020,24.95
4/18/2020,24.08
4/18/2020,23.85
4/19/2020,22.85
4/19/2020,24.37
4/19/2020,23.71
4/20/2020,24
4/20/2020,24.52
4/20/2020,24.37
5/3/2020,23.51
5/3/2020,22.85
5/3/2020,24.29
5/4/2020,22.29
5/4/2020,19.58
5/4/2020,22.42
5/5/2020,20.55
5/5/2020,22.2
5/5/2020,22.99
5/6/2020,22.28
5/6/2020,23.59
5/6/2020,22.63
5/7/2020,22.85
5/7/2020,21.64
5/7/2020,23.21
5/8/2020,22.63
5/8/2020,25
5/9/2020,18.18
5/9/2020,22.85
5/9/2020,24.74
5/10/2020,20.91
5/10/2020,22.42
5/10/2020,22.92
5/11/2020,23.6
5/11/2020,21.92
5/11/2020,22.35
5/12/2020,22.45
5/12/2020,24.65
5/12/2020,23.64
5/13/2020,23.07
5/13/2020,24.22
5/13/2020,23.21
5/14/2020,23.07
5/14/2020,23.46
5/14/2020,23.94
5/15/2020,23.78
5/15/2020,23.79
5/15/2020,23.74
5/16/2020,22.88
5/16/2020,23.5
5/16/2020,23.74
5/17/2020,22.93
5/17/2020,23.21
5/17/2020,24.03
5/18/2020,23.36
5/19/2020,23.74
5/19/2020,22.64
5/19/2020,23.64
5/20/2020,23.77
5/20/2020,23.07
5/20/2020,24.64
5/21/2020,24.07
5/21/2020,24.66
5/21/2020,24.35
5/22/2020,24.21
5/22/2020,24.31
5/22/2020,24.08
5/23/2020,23.35
5/23/2020,23.74
5/23/2020,24.37
5/24/2020,22.92
5/24/2020,23.89
5/24/2020,24.21
5/25/2020,24.51
5/25/2020,22.64
5/25/2020,23.6
5/26/2020,24.09
5/26/2020,22.92
5/26/2020,22.35
5/27/2020,23.17
5/27/2020,22.35
5/27/2020,22.92
5/28/2020,23.67
5/28/2020,23.5
5/28/2020,23.35
5/29/2020,23.5
5/29/2020,22.49
5/29/2020,23.35
5/30/2020,22.92
5/30/2020,21.88
5/30/2020,23.5
5/31/2020,21.92
5/31/2020,22.88
5/31/2020,22.64
6/1/2020,22.78
6/1/2020,21.35
6/1/2020,22.1
6/2/2020,22.35
6/2/2020,21.78
6/2/2020,22.02
6/3/2020,22.79
6/3/2020,22.49
6/3/2020,22.92
6/4/2020,22.45
6/4/2020,22.92
6/4/2020,23.35
6/5/2020,22.78
6/5/2020,25.09
6/5/2020,22.06
6/6/2020,22.78
6/6/2020,22.06
6/6/2020,22.92
6/7/2020,23.64
6/7/2020,21.81
6/7/2020,22.64
6/8/2020,21.92
6/8/2020,22.6
6/8/2020,24.37
6/9/2020,21.49
6/9/2020,21.78
6/9/2020,21.95
6/10/2020,23.07
6/10/2020,21.49
6/10/2020,22.13
6/11/2020,21.88
6/11/2020,22.35
6/11/2020,23.06
6/12/2020,20.92
6/12/2020,22.2
6/12/2020,22.39
6/13/2020,22.73
6/13/2020,22.53
6/14/2020,23.25
6/14/2020,22.63
6/14/2020,23.25
6/15/2020,23.1
6/15/2020,23.25
6/15/2020,23.2
6/16/2020,23.25
6/16/2020,23.96
6/16/2020,22.63
6/17/2020,23.96
6/17/2020,22.89
6/17/2020,25.54
6/18/2020,23.53
6/18/2020,23.96
6/18/2020,23.32
6/19/2020,23.35
6/19/2020,22.67
6/19/2020,23.03
6/20/2020,23.53
6/20/2020,23.25
6/20/2020,23.89
6/21/2020,23.67
6/21/2020,25.37
6/21/2020,24.39
6/22/2020,24.11
6/22/2020,23.92
6/22/2020,23.53
6/23/2020,24.54
6/24/2020,24.11
6/24/2020,23.78
6/25/2020,23.68
6/25/2020,24.39
6/25/2020,24.83
6/25/2020,26.65
6/26/2020,25.24
6/26/2020,25.26
6/26/2020,24.11
6/27/2020,25.08
6/27/2020,23.82
6/27/2020,25.26
6/28/2020,25.04
6/28/2020,24.54
6/28/2020,25.54
6/29/2020,25.4
6/29/2020,26.23
6/29/2020,25.69
6/30/2020,23.96
6/30/2020,25.08
6/30/2020,25.11
7/1/2020,25.26
7/1/2020,24.9
7/2/2020,25.13
7/2/2020,24.8
7/3/2020,23.82
7/3/2020,24.25
7/3/2020,24.82
7/4/2020,23.92
7/4/2020,25.4
7/4/2020,24.25
7/5/2020,23.35
7/5/2020,23.53
7/5/2020,24.61
7/6/2020,24.54
7/6/2020,24.25
7/6/2020,24.25
7/7/2020,24.39
7/7/2020,24.95
7/7/2020,23.25
7/8/2020,24.54
7/9/2020,24.4
7/9/2020,24.18
7/9/2020,23.92
7/10/2020,24.54
7/10/2020,24.39
7/10/2020,23.78
7/11/2020,23.68
7/11/2020,24.36
7/11/2020,24.78
7/12/2020,24.36
7/13/2020,24.95
7/13/2020,25.5
7/13/2020,25.36
7/14/2020,25.07
7/14/2020,25.07
7/14/2020,25.29
7/15/2020,26
7/15/2020,25.81
7/15/2020,24.35
7/16/2020,26.07
7/16/2020,24.65
7/16/2020,24.93
7/17/2020,26.22
7/17/2020,25
7/17/2020,24.65
7/18/2020,25.64
7/18/2020,25.93
7/18/2020,25.65
7/19/2020,24.93
7/19/2020,25.22
7/19/2020,25.22
7/20/2020,25.51
7/20/2020,24.64
7/20/2020,25.14
7/21/2020,25.06
7/21/2020,25.21
7/21/2020,24.79
7/22/2020,25.72
7/22/2020,24.35
7/22/2020,25.5
7/23/2020,24.21
7/23/2020,24.21
7/23/2020,24.78
7/24/2020,24.93
7/24/2020,24.15
7/24/2020,24.78
7/25/2020,25.93
7/25/2020,24.64
7/25/2020,24.79
7/26/2020,24.21
7/26/2020,25.22
7/26/2020,25.08
7/27/2020,25.07
7/27/2020,24.5
7/27/2020,24.79
7/28/2020,24.93
7/28/2020,25.79
7/28/2020,25.07
7/29/2020,24.5
7/29/2020,25.65
7/29/2020,24.64
7/30/2020,25.07
7/30/2020,25.21
7/30/2020,24.21
7/31/2020,24.78
7/31/2020,24.79
7/31/2020,25.07
8/1/2020,23.93
8/1/2020,25.51
8/1/2020,24.78
8/2/2020,25.65
8/2/2020,25.07
8/2/2020,23.42
8/3/2020,23.5
8/4/2020,23.93
8/4/2020,23.93
8/5/2020,24.56
8/5/2020,24.36
8/6/2020,25.69
8/6/2020,25.93
8/6/2020,25.65
8/7/2020,25.5
8/7/2020,25.32
8/7/2020,24.75
8/8/2020,25.13
8/8/2020,25.83
8/8/2020,24.89
8/9/2020,25.61
8/9/2020,24.96
8/9/2020,24.89
8/10/2020,24.89
8/10/2020,23.95
8/10/2020,24.66
8/11/2020,24.02
8/11/2020,24.95
8/11/2020,25.25
8/12/2020,23.44
8/12/2020,25.03
8/12/2020,24.38
