Date,Moisture_600,Blaine_After_HPGR,Tfe_Before_Mixer,FeO_Before_Mixer,Online_hours,Grate_Feed(ton),Grate_Speed(rpm),Depth(mm),EP1_Temp(deg),EP2_Temp(deg),Grate_Zoon3_Temp(deg),Grate_Zoon4_Temp(deg),Amb_Temp(deg),KL1_Speed(rpm),AN1_Speed(rpm),730FN1_Damper,730FN1_Amp,AN1_Zoon3_Temp(deg),Gas_Consumption(Nm3)
5/24/2019,8.839861111,2242.727273,66.765,19.95333333,24,12512.4,5.782323706,137.810433,107.012678,98.37976877,769.94203,864.5863718,24.24482148,1.700252489,1.682777194,33.44027778,181.4712672,142.3371627,187944
5/25/2019,8.765277778,2254.909091,67.05,20.50666667,24,12597.87,5.819002101,135.232949,111.0768834,99.51893078,768.9739193,861.9466455,27.06457355,1.70017631,1.699244687,33.62569444,180.3965624,166.7734585,191144
5/26/2019,8.639285714,2258.2,67.24,19.26,24,12272.12,5.828206719,133.0883638,118.7528007,100.9802366,765.6554509,859.0992895,28.99603725,1.686909853,1.662054409,34.07222222,181.7637473,165.7227796,189184
5/29/2019,8.770833333,2216.916667,67.18,21.61333333,24,13122.4,5.795843533,136.5868404,109.1127995,99.28423753,809.1817472,892.6781257,27.97011646,1.700570999,1.685790919,34.27986111,180.9339056,171.4468203,199892
5/30/2019,8.761111111,2190,67.18333333,22.14,24,13085.75,5.853182555,135.553879,115.0890874,101.5762666,804.3852016,901.0573961,28.10551573,1.700113774,1.698922292,34.82986111,182.3919236,171.4468203,191564
5/31/2019,8.831944444,2202,66.98666667,21.84666667,24,13062.85,5.825190064,137.7507498,111.8558694,101.2351638,804.2290126,902.6962053,27.73622877,1.699846276,1.685183865,34.96041667,183.9589336,171.4468203,192196
6/1/2019,8.802777778,2204.1,67.06666667,21.51,24,12977.57,5.758782687,139.9104669,112.188271,99.96215453,795.5360624,912.5513653,26.41120632,1.699701622,1.664358795,34.80277778,184.6356871,151.5124392,194956
6/2/2019,8.825,2197.416667,66.93333333,21.60333333,24,12943.93,5.861748174,137.2836808,112.0821257,101.4452013,790.576816,906.0207795,26.84695225,1.699798636,1.66317964,35.12222222,184.9940417,187.4347994,196512
6/3/2019,8.623611111,2205.7,67.02333333,21.47333333,24,13077.46,5.82989188,137.1924048,109.9185805,99.34041942,778.8295687,879.3401141,27.29130916,1.699807629,1.69849225,34.92777778,184.6017338,182.8504489,190668
6/4/2019,8.729166667,2172.909091,66.98666667,21.13666667,24,12968.44,5.804589894,135.7764744,106.7088612,99.7032884,774.6425963,869.4571999,28.62205758,1.699833844,1.703720687,34.53055556,183.9469546,180.6586228,185996
6/5/2019,8.620833333,2250.2,66.91666667,20.85666667,23.95,12688.67,5.798928683,131.5370664,113.1530673,100.5074169,751.3524705,849.9328085,29.66277533,1.699838706,1.666967255,34.66597222,183.3798557,194.602619,186248
6/6/2019,8.755555556,2221.833333,67.02333333,20.76333333,24,13132.84,5.774639111,136.1790221,108.1453773,99.38522698,760.4101744,843.0516222,31.15497391,1.699833602,1.702495356,37.23611111,187.0889028,192.5945317,186656
6/7/2019,8.601388889,2210.444444,66.85,21.24666667,24,13021.2,5.820489589,134.521276,106.6097412,100.3229384,758.1979595,839.6214522,32.57433533,1.699908324,1.663030435,37.31041667,186.6153745,192.5945317,184188
6/8/2019,8.770833333,2229.9,66.56333333,21.33333333,23.81666667,12623.24,5.675419098,135.2908529,113.6537475,103.7914123,749.9216192,818.4881865,33.2151618,1.69987572,1.627906162,36.69375,185.5385132,192.5945317,181792
6/9/2019,8.768055556,2263.666667,66.74666667,21.61666667,24,12851.3,5.758664714,136.4386702,111.910541,102.8919819,774.4688718,815.1205763,34.95600637,1.699789019,1.668860812,37.74201389,187.1799242,192.5945317,179672
6/10/2019,8.931944444,2223.555556,66.72666667,21.93,24,12924.25,5.889792953,135.6702507,112.105567,100.721876,776.0138978,813.6677833,33.2363523,1.700032491,1.694239884,37.88055556,188.2667034,192.5945317,180124
6/11/2019,8.931944444,2223.555556,66.72666667,21.93,24,12380.23,5.767926242,133.554627,112.4756461,101.4500838,755.068348,819.9553845,31.24721002,1.700253601,1.603773867,35.67152778,184.8219969,190.2213934,182456
6/17/2019,8.943055556,2274.8,66.67666667,20.40333333,24,12718.8,5.754607868,125.5127102,120.4299101,103.9636901,754.0455365,825.9217291,32.47144665,1.700001241,1.634473879,37.875,187.4436124,176.0385673,186292
6/18/2019,8.72173913,2240.181818,66.50333333,20.92,24,12729.04,5.757961131,130.3376512,116.7438233,103.570163,759.9497084,832.0831576,34.54751752,1.699972526,1.661656791,37.71597222,185.9794515,197.862354,181364
6/19/2019,8.826388889,2245.7,66.78333333,21.54,22.15,10981.09,4.973259937,132.5627118,122.0366027,104.5837213,686.3192564,807.102231,34.06782139,1.700041171,1.455084455,33.64166667,176.3871753,164.6557607,178052
6/20/2019,8.779166667,2238.25,66.52666667,22.05666667,24,12795.71,5.737783749,134.466056,117.958238,104.3502203,768.1508229,837.2383912,34.28212498,1.699893914,1.655945529,37.75694444,185.7790173,180.73398,176764
6/21/2019,8.786486486,2236,66.87,23.03,23.86666667,12466.19,5.711347728,131.3092768,121.7505088,106.3059849,758.6416424,828.6357179,33.57380594,1.699943532,1.627648015,37.45486111,184.8802825,175.7200456,177760
6/23/2019,8.714084507,2252.9,66.90666667,21.39666667,22.88333333,11664.13,5.296262078,131.6413094,123.2885449,104.988801,715.8115507,846.8293965,34.24027284,1.699871553,1.477676568,35.38611111,180.4681413,162.3051985,184628
6/24/2019,8.756944444,2124.727273,67.15666667,21.09,24,12647.74,5.71851263,135.0501999,117.7029706,103.731985,749.9356059,838.0074763,35.30143244,1.699993116,1.648004065,37.87638889,185.981848,171.0870943,178424
6/25/2019,8.665277778,2200.181818,66.6,21.68333333,23.9,12453.3,5.621085148,134.5130559,118.4754267,105.296661,756.1338967,837.1484156,35.43899255,1.699966206,1.634290164,37.44652778,186.1011924,164.3051425,177952
6/26/2019,8.695833333,2160.818182,66.53333333,21.47333333,23.93333333,12397.91,5.67879576,131.4751373,120.6585987,105.5691264,766.7342889,825.8054238,36.14792674,1.699938115,1.60801178,36.55555556,183.998129,181.3069934,177412
6/27/2019,8.941538462,2165.7,66.34333333,21.53666667,24,12517.32,5.720497263,134.3743752,117.7024269,103.6800915,773.0069307,819.8321039,36.53795232,1.699892873,1.659310796,37.38819444,184.5554982,181.6970259,177068
6/28/2019,8.972222222,2203.909091,66.45333333,21.39666667,23.85,12339.25,5.629460535,137.0173429,117.730246,103.8169777,773.7497775,816.9092952,34.70381794,1.699803878,1.662110517,36.76736111,184.0969128,182.9793502,180792
6/29/2019,8.798611111,2169.583333,66.62333333,22.2,23.95,12611.87,5.756420875,135.6832892,116.8739767,102.9192451,785.1920471,825.9810858,35.07054382,1.699817975,1.680031843,37.64861111,185.0395523,198.4233987,180272
