Date,Time,Blaine_After_HPGR
6/18/2019,1:05,2259
6/18/2019,3:05,2237
6/18/2019,5:05,2370
6/18/2019,7:05,2190
6/18/2019,9:05,2259
6/18/2019,11:05,2214
6/18/2019,13:05,2214
6/18/2019,15:05,2237
6/18/2019,17:05,2304
6/18/2019,21:05,2237
6/18/2019,23:05,2190
6/19/2019,1:05,2259
6/19/2019,3:05,2190
6/19/2019,5:05,2348
6/19/2019,9:05,2304
6/19/2019,13:05,2259
6/19/2019,15:05,2237
6/19/2019,17:05,2259
6/19/2019,19:05,2237
6/19/2019,21:05,2282
6/19/2019,23:05,2237
6/20/2019,1:05,2214
6/20/2019,3:05,2214
6/20/2019,5:05,2214
6/20/2019,7:05,2304
6/20/2019,9:05,2237
6/20/2019,11:05,2214
6/20/2019,13:05,2237
6/20/2019,15:05,2214
6/20/2019,17:05,2237
6/20/2019,19:05,2237
6/20/2019,21:05,2348
6/20/2019,22:50,2237
6/21/2019,1:05,2167
6/21/2019,3:05,2237
6/21/2019,5:15,2190
6/21/2019,9:05,2214
6/21/2019,11:05,2214
6/21/2019,13:05,2326
6/21/2019,15:05,2167
6/22/2019,3:05,2259
6/22/2019,7:05,2214
6/22/2019,9:05,2143
6/22/2019,11:05,2282
6/22/2019,13:05,2167
6/22/2019,15:05,2348
6/22/2019,17:05,2214
6/22/2019,19:05,2237
6/22/2019,21:05,2348
6/23/2019,1:05,2259
6/23/2019,3:05,2304
6/23/2019,5:05,2237
6/23/2019,7:05,2282
6/23/2019,11:05,2304
6/23/2019,12:55,2304
6/23/2019,15:05,2214
6/23/2019,17:05,2214
6/23/2019,19:05,2237
6/23/2019,21:05,2326
6/24/2019,1:05,2412
6/24/2019,3:15,2190
6/24/2019,5:05,2046
6/24/2019,7:05,2095
6/24/2019,9:05,2046
6/24/2019,11:05,2143
6/24/2019,13:05,1970
6/24/2019,15:05,2190
6/24/2019,17:05,2143
6/24/2019,19:05,2143
6/24/2019,21:05,2190
